repeat_seed,fold,branch,feature,rank
43,1,genomic,CCNA2,6
43,1,genomic,SULT1A1,7
43,1,genomic,ALG5,8
43,1,genomic,L3MBTL4,9
43,1,genomic,GCLC,10
43,1,genomic,"Patient Death Reason_Other, non-malignant disease",11
43,1,genomic,PF4,12
43,1,genomic,DFNB42,13
43,1,genomic,C17orf75,14
43,1,genomic,ZNF146,15
43,1,genomic,ADGRL1,16
43,1,genomic,TGD,17
43,1,genomic,ZNF623,18
43,1,genomic,FTSJ2,19
43,1,genomic,TICRR,20
43,1,genomic,YWHAH,21
43,1,genomic,RRS1,22
43,1,genomic,PBLD,23
43,1,genomic,CASR,24
43,1,genomic,SH3RF2,25
43,1,genomic,SYNJ1,26
43,1,genomic,ATG9A,27
43,1,genomic,UNKL,28
43,1,genomic,SCAND2P,29
43,1,genomic,FLJ11328,30
43,1,genomic,HTR1B,31
43,1,genomic,INHBE,32
43,1,genomic,HAUS6,33
43,1,genomic,NR2F1-AS1,34
43,1,genomic,ASPN,35
43,1,genomic,WNT3A,36
43,1,genomic,SDHAF4,37
43,1,genomic,RER1,38
43,1,genomic,COX7B,39
43,1,genomic,ARHGEF11,40
43,1,clinical,Patient Primary Tumor Site_Overlapping / Multiple Zones,1
43,1,clinical,Ct scan ab pelvis results_Equivocal,2
43,1,clinical,Gleason pattern secondary,3
43,1,clinical,Diagonstic MRI Result_YES,4
43,1,clinical,Ct scan ab pelvis results_Extraprostatic Extension (regional lymphadenopathy)[e.g. cN1],5
43,1,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8255/3",6
43,1,clinical,Primary Therapy Outcome Success Type_Partial Remission/Response,7
43,1,clinical,Primary Lymph Node Presentation Assessment Ind-3_NO,8
43,1,clinical,Gleason pattern primary,9
43,1,clinical,Ct scan ab pelvis results_Extraprostatic Extension  Localized (e.g. seminal vesicles),10
43,1,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Synchronous/Bilateral Malignancy",11
43,1,clinical,American Joint Committee on Cancer Tumor Stage Code_T2b,12
43,1,clinical,Patient Primary Tumor Site_Central Zone,13
43,1,clinical,American Joint Committee on Cancer Tumor Stage Code_T3b,14
43,1,clinical,Ct scan ab pelvis indicator_YES,15
43,1,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8480/3",16
43,1,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8550/3",17
43,1,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8140/3",18
43,1,clinical,American Joint Committee on Cancer Tumor Stage Code_T4,19
43,1,clinical,Tissue Retrospective Collection Indicator_YES,20
43,1,clinical,Ct scan ab pelvis results_No Evidence of Extraprostatic Extension,21
