run_seed,branch,feature,rank
502,clinical,Prior Cancer Diagnosis Occurence_Yes,35
502,clinical,Bone Scan Result_Abnormal (not related to prostate cancer),36
502,clinical,Surgical Margin Resection Status_R0,37
502,clinical,Diagonstic MRI Result_YES,38
502,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2,39
502,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2c,40
503,genomic,C8orf58,1
503,genomic,MMADHC,2
503,genomic,DKFZp547O146,3
503,genomic,ACVRL1,4
503,genomic,TAOK3,5
503,genomic,OR51F2,6
503,genomic,MUL1,7
503,genomic,GRM6,8
503,genomic,TMEM52B,9
503,genomic,PAN2,10
503,genomic,CCNA2,11
503,genomic,RPS27A,12
503,genomic,MAP3K1,13
503,genomic,TREM2,14
503,genomic,BRI3,15
503,genomic,NDUFAF8,16
503,genomic,VWA8,17
503,genomic,LIMD2,18
503,genomic,BTG2,19
503,genomic,LIG1,20
503,genomic,NUTF2,21
503,genomic,CHAD,22
503,genomic,SOX2-OT,23
503,genomic,PLEKHH1,24
503,genomic,AGTR2,25
503,genomic,CTXN2,26
503,genomic,FAM3B,27
503,genomic,B2M,28
503,genomic,NAA40,29
503,genomic,PCED1A,30
503,genomic,VDR,31
503,genomic,PPY,32
503,genomic,YTHDC2,33
503,genomic,IFI16,34
503,genomic,ACAP3,35
503,genomic,HBE1,36
503,genomic,PGM5-AS1,37
503,genomic,RAC2,38
503,genomic,MZF1,39
503,genomic,SENP8,40
503,clinical,Person Neoplasm Status_WITH TUMOR,1
503,clinical,Gleason pattern tertiary_4,2
503,clinical,Ct scan ab pelvis results_Extraprostatic Extension  Localized (e.g. seminal vesicles),3
503,clinical,American Joint Committee on Cancer Tumor Stage Code_T2a,4
503,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T3a,5
503,clinical,Patient Primary Tumor Site_Transition Zone,6
503,clinical,Year Cancer Initial Diagnosis,7
503,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T1c,8
503,clinical,Primary Therapy Outcome Success Type_Progressive Disease,9
503,clinical,Primary Therapy Outcome Success Type_Partial Remission/Response,10
503,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8550/3",11
503,clinical,Gleason pattern primary,12
503,clinical,Surgical Margin Resection Status_R0,13
503,clinical,Tumor Level_Middle,14
503,clinical,Primary Tumor Laterality_Left,15
503,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2,16
503,clinical,American Joint Committee on Cancer Tumor Stage Code_T3b,17
503,clinical,Bone Scan Result_Equivocal,18
503,clinical,SEX,19
503,clinical,Tumor Level_Apex|Middle|Base,20
503,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Prior Malignancy",21
503,clinical,Gleason pattern tertiary_3,22
503,clinical,Patient Primary Tumor Site_Overlapping / Multiple Zones,23
503,clinical,Gleason pattern secondary,24
503,clinical,Primary Tumor Laterality_Bilateral,25
503,clinical,Primary Lymph Node Presentation Assessment Ind-3_YES,26
503,clinical,Ct scan ab pelvis results_Extraprostatic Extension (regional lymphadenopathy)[e.g. cN1],27
503,clinical,Diagonstic MRI Result_NO,28
503,clinical,Tumor Level_Middle|Base,29
503,clinical,Tissue Retrospective Collection Indicator_NO,30
503,clinical,Tissue Retrospective Collection Indicator_YES,31
503,clinical,Prior Cancer Diagnosis Occurence_No,32
503,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),33
503,clinical,Mri results_No Evidence of Extraprostatic Extension,34
503,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2c,35
503,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2b,36
503,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8140/3",37
503,clinical,Race Category_WHITE,38
503,clinical,Adjuvant Postoperative Targeted Therapy Administered Indicator_NO,39
503,clinical,Adjuvant Postoperative Targeted Therapy Administered Indicator_YES,40
504,genomic,MRPS26,1
504,genomic,RASSF2,2
504,genomic,TFCP2,3
504,genomic,CYB5B,4
504,genomic,CARD19,5
504,genomic,LCN10,6
504,genomic,ANO8,7
504,genomic,TPPP2,8
504,genomic,FAM24B,9
504,genomic,GTF3C6,10
504,genomic,BOP1,11
504,genomic,SRP72,12
504,genomic,ATP1A1,13
504,genomic,SEMA4A,14
504,genomic,PAN2,15
504,genomic,TROAP,16
504,genomic,GABPB2,17
504,genomic,MAP3K1,18
504,genomic,PTGER1,19
504,genomic,EIF2B2,20
504,genomic,NDUFAF8,21
504,genomic,BTG2,22
504,genomic,DFNB42,23
504,genomic,RAC3,24
504,genomic,LGALS8,25
504,genomic,ELP4,26
504,genomic,OR3A2,27
504,genomic,PLEKHH1,28
504,genomic,MOBP,29
504,genomic,CEP95,30
504,genomic,KIAA1508,31
504,genomic,SEPT8,32
504,genomic,LOC399815,33
504,genomic,TSSK3,34
504,genomic,SDHAL2,35
504,genomic,YTHDC2,36
504,genomic,NXF1,37
504,genomic,KIAA0513,38
504,genomic,ASCL2,39
504,genomic,ANKRD45,40
504,clinical,Person Neoplasm Status_WITH TUMOR,1
504,clinical,Year Cancer Initial Diagnosis,2
504,clinical,Primary Lymph Node Presentation Assessment Ind-3_YES,3
504,clinical,Did patient start adjuvant postoperative radiotherapy?_YES,4
504,clinical,American Joint Committee on Cancer Tumor Stage Code_T2a,5
504,clinical,American Joint Committee on Cancer Tumor Stage Code_T2c,6
504,clinical,Tissue Retrospective Collection Indicator_YES,7
504,clinical,Primary Therapy Outcome Success Type_Stable Disease,8
504,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2b,9
504,clinical,Primary Tumor Laterality_Right,10
504,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8550/3",11
504,clinical,Patient Primary Tumor Site_Overlapping / Multiple Zones,12
504,clinical,Ct scan ab pelvis indicator_NO,13
504,clinical,Tumor Level_Apex|Base,14
504,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),15
504,clinical,Tissue Prospective Collection Indicator_YES,16
504,clinical,Adjuvant Postoperative Targeted Therapy Administered Indicator_NO,17
504,clinical,Ct scan ab pelvis indicator_YES,18
504,clinical,Primary Therapy Outcome Success Type_Partial Remission/Response,19
504,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2,20
504,clinical,Positive Finding Lymph Node Hematoxylin and Eosin Staining Microscopy Count,21
504,clinical,Gleason pattern tertiary_4,22
504,clinical,SEX,23
504,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Prior Malignancy",24
504,clinical,Gleason pattern tertiary_3,25
504,clinical,Ct scan ab pelvis results_Extraprostatic Extension  Localized (e.g. seminal vesicles),26
504,clinical,Lymph Node(s) Examined Number,27
504,clinical,Diagnosis Age,28
504,clinical,Gleason pattern primary,29
504,clinical,Primary Tumor Laterality_Bilateral,30
504,clinical,Patient Primary Tumor Site_Peripheral Zone,31
504,clinical,Surgical Margin Resection Status_RX,32
504,clinical,Surgical Margin Resection Status_R1,33
504,clinical,Surgical Margin Resection Status_R0,34
504,clinical,Primary Lymph Node Presentation Assessment Ind-3_NO,35
504,clinical,Mri results_No Evidence of Extraprostatic Extension,36
504,clinical,Did patient start adjuvant postoperative radiotherapy?_NO,37
504,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2a,38
504,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8500/3",39
504,clinical,Race Category_BLACK OR AFRICAN AMERICAN,40
505,genomic,SH3RF2,1
505,genomic,C8orf58,2
505,genomic,LQFBS-1,3
505,genomic,MMADHC,4
505,genomic,INE2,5
505,genomic,RASSF2,6
505,genomic,TFCP2,7
505,genomic,ASAP2,8
505,genomic,CYP4A11,9
505,genomic,MUL1,10
505,genomic,VGF,11
505,genomic,TROAP,12
505,genomic,MAPK11,13
505,genomic,MAGEL2,14
505,genomic,TREM2,15
505,genomic,VWA8,16
505,genomic,BTG2,17
505,genomic,DFNB42,18
505,genomic,LIG1,19
505,genomic,RAG1,20
505,genomic,ANKRD39,21
505,genomic,SKAP1,22
505,genomic,FOXP1,23
505,genomic,C2CD5,24
505,genomic,LPPR2,25
505,genomic,SPATA41,26
505,genomic,BRWD3,27
505,genomic,BMS1P4,28
505,genomic,METTL18,29
505,genomic,FOXN3,30
505,genomic,TSSK3,31
505,genomic,CTXN2,32
505,genomic,IL6,33
505,genomic,PARP2,34
505,genomic,NXF1,35
505,genomic,TMEM263,36
505,genomic,MZF1,37
505,genomic,EPR1,38
505,genomic,SENP8,39
505,genomic,LRRC28,40
505,clinical,Person Neoplasm Status_WITH TUMOR,1
505,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2a,2
505,clinical,Diagonstic MRI Result_NO,3
505,clinical,Adjuvant Postoperative Targeted Therapy Administered Indicator_YES,4
505,clinical,Gleason pattern primary,5
505,clinical,Year Cancer Initial Diagnosis,6
505,clinical,Primary Tumor Laterality_Left,7
505,clinical,Patient Primary Tumor Site_Peripheral Zone,8
505,clinical,Tissue Prospective Collection Indicator_YES,9
505,clinical,Primary Therapy Outcome Success Type_Progressive Disease,10
505,clinical,Primary Therapy Outcome Success Type_Partial Remission/Response,11
505,clinical,Primary Tumor Laterality_Bilateral,12
505,clinical,Mri results_No Evidence of Extraprostatic Extension,13
505,clinical,Primary Lymph Node Presentation Assessment Ind-3_YES,14
505,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2,15
505,clinical,Bone Scan Result_Normal (no evidence of prostate cancer) [cM0],16
505,clinical,Positive Finding Lymph Node Hematoxylin and Eosin Staining Microscopy Count,17
505,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T1c,18
505,clinical,Patient Primary Tumor Site_Overlapping / Multiple Zones,19
505,clinical,Tumor Level_Middle,20
505,clinical,Gleason pattern tertiary_4,21
505,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),22
505,clinical,Ct scan ab pelvis results_Extraprostatic Extension  Localized (e.g. seminal vesicles),23
505,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Prior Malignancy",24
505,clinical,Tumor Level_Apex,25
505,clinical,Tumor Level_Apex|Base,26
505,clinical,Tissue Retrospective Collection Indicator_NO,27
505,clinical,Bone Scan Result_Abnormal (not related to prostate cancer),28
505,clinical,Primary Tumor Laterality_Right,29
505,clinical,Surgical Margin Resection Status_R1,30
505,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T3b,31
505,clinical,Did patient start adjuvant postoperative radiotherapy?_YES,32
505,clinical,Did patient start adjuvant postoperative radiotherapy?_NO,33
505,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2b,34
505,clinical,Primary Therapy Outcome Success Type_Complete Remission/Response,35
505,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8550/3",36
505,clinical,American Joint Committee on Cancer Tumor Stage Code_T2c,37
505,clinical,American Joint Committee on Cancer Tumor Stage Code_T2a,38
505,clinical,Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code_N1,39
505,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8140/3",40
506,genomic,CDC37,1
506,genomic,LQFBS-1,2
506,genomic,INE2,3
506,genomic,CYB5B,4
506,genomic,DKFZp547O146,5
506,genomic,ASAP2,6
506,genomic,SRCIN1,7
506,genomic,TAOK3,8
506,genomic,SLC15A1,9
506,genomic,FAM24B,10
506,genomic,F3,11
506,genomic,TROAP,12
506,genomic,INSIG1,13
