2026-09-19 02:25:33 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:25:35 | INFO     | prostate_bcr | Preprocessing fitted on 343 training samples
2026-09-19 02:26:07 | INFO     | prostate_bcr | Genomic selector: 18904 variance \u2192 200 MI features
2026-09-19 02:26:07 | INFO     | prostate_bcr | Clinical selector: 78 variance -> 78 MI features
2026-09-19 02:26:11 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:26:30 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.8021 (Raw AUC ~= 0.8421)
2026-09-19 02:26:50 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8021 (Raw AUC ~= 0.8421)
2026-09-19 02:26:50 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8021
2026-09-19 02:26:54 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:27:10 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.7715 (Raw AUC ~= 0.8115)
2026-09-19 02:27:26 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.7715 (Raw AUC ~= 0.8115)
2026-09-19 02:27:26 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.7715
2026-09-19 02:27:27 | INFO     | prostate_bcr | Repeat seed=43 fold 2/5 ...
2026-09-19 02:27:27 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:27:27 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:27:30 | INFO     | prostate_bcr | Preprocessing fitted on 343 training samples
2026-09-19 02:28:02 | INFO     | prostate_bcr | Genomic selector: 18904 variance \u2192 200 MI features
2026-09-19 02:28:02 | INFO     | prostate_bcr | Clinical selector: 79 variance -> 79 MI features
2026-09-19 02:28:06 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
