RASSF2,ASPA,FTSJ2,TMEM145,DKFZp547O146,CARD19,CTRC,ZNF324,MUL1,BOP1,SP1,SUGT1P1,RPS2P32,ZFP82,EIF2B2,MAGEL2,BCRP3,RACH1,RC3H1,FUS,TXNDC11,ZNF512B,GLIS2,AFF3,SPATA41,BRWD3,BMS1P4,NAA40,EIF5B,BAMBI,PHACTR4,DCAF4,IFI16,PARP2,ANKRD45,TMEM258,SLC5A7,MZF1,CLECL1,NBPF3,KLK3,KLK2,ACPP,TMPRSS2,AR,NKX3-1,STEAP2,FKBP5,CAMKK2,MKI67,TOP2A,CCNB1,CCNE1,CDK1,AURKA,BIRC5
0.966233,0.655024,0.664983,0.0234727,3.60939,0.183113,0.0,1.03944,0.879608,0.265496,4.03433,0.120672,0.0820051,0.846188,0.899075,0.0373804,0.156326,2.58128,3.29751,4.22966,1.8144,0.846063,0.913056,2.86202,0.043078,1.48674,0.808803,1.22721,2.9796,0.324875,1.8325,0.418439,2.71165,0.635513,0.138622,0.0,0.126083,0.942403,0.13185,0.598074,162.726,38.4189,85.0566,9.40146,3.55856,17.411,14.2545,7.09614,2.58907,0.160768,0.149745,0.143645,0.144752,0.259146,0.0483066,0.0
0.863741,0.336967,0.731145,0.100722,2.88881,0.46787,0.0,1.36776,0.519989,0.649858,3.71937,0.132503,0.340759,0.147024,1.50344,0.0327688,0.0,1.22874,2.25435,3.40885,0.81111,0.897296,1.26114,5.622,0.0989545,0.949785,0.477087,0.793569,2.93212,0.173606,2.19051,0.560844,2.50739,0.673014,0.0663854,0.0,0.0360896,0.984476,0.0,0.414676,168.775,40.791,92.4931,13.1835,2.57278,12.5599,11.3792,6.58286,6.09085,0.0390309,0.079937,0.114234,0.071665,0.16579,0.084967,0.0
1.07777,0.119673,0.705635,0.0938564,2.40779,0.214598,0.0,0.815148,0.668368,0.353158,3.62419,0.498363,0.0,0.263007,0.522405,0.0148207,0.105073,1.26391,2.69975,3.9772,1.75693,0.737325,0.479239,5.98498,0.0,1.35848,0.932178,1.12135,2.96733,1.08332,1.71736,0.571387,1.22471,0.857573,0.152799,0.0,0.0,0.999688,0.0,0.615098,484.6,88.8929,91.4401,35.936,3.59327,53.4844,28.1461,4.21205,12.9915,0.126538,0.282649,0.0350917,0.0664642,0.0,0.0943088,0.190798
0.484971,0.385379,0.993587,0.0,2.42881,0.240929,0.0,0.961694,0.409566,0.278151,3.12241,0.526561,0.132607,0.296241,0.902994,0.0133702,0.0,0.859994,2.40673,2.18116,2.4826,0.415963,0.156094,4.46743,0.121173,1.19152,0.808619,1.03586,1.9277,0.248125,1.41523,0.294117,0.909735,0.266224,0.133955,0.0,0.0328,1.01231,0.0,0.62557,632.114,61.1979,428.459,29.1451,3.56156,54.6467,27.7521,14.487,25.7527,0.251032,0.0630329,0.0,0.0752671,0.199985,0.0453904,0.044064
1.73496,0.0,0.481971,0.0,3.01586,0.0,0.0,1.41399,1.92114,0.160711,3.85707,0.0,0.812621,0.0,0.338564,0.115155,1.28072,0.415369,3.30292,3.46164,0.566452,0.455432,0.607111,4.15975,0.0,1.42369,1.42868,0.801664,4.02874,0.0,1.91578,0.24922,1.35239,0.372642,0.0112269,0.0,0.0,1.28461,0.270397,1.16783,413.438,69.912,59.2613,8.15481,2.0174,11.8224,24.6502,8.7357,3.41412,0.0686489,0.0,0.530734,0.0,0.0,0.346214,0.0
0.756607,0.103538,0.6715,0.0,3.6399,0.560101,0.262108,1.78539,0.653017,0.63694,3.53149,0.0,0.3934,0.181838,0.616535,0.0,0.371649,0.165619,3.39867,3.39227,1.53487,0.619109,1.55413,1.59551,0.035512,1.33347,1.36999,0.821242,2.63153,0.97688,1.63208,0.433245,1.67266,0.864081,0.190318,0.0,0.0252035,1.14134,0.0282104,0.660231,340.826,62.3392,30.1261,24.4293,4.60894,25.3935,20.1113,5.3676,12.7886,0.161002,0.196999,0.0309262,0.035347,0.05228,0.254746,0.161722
0.690075,1.1045,1.0657,0.0,3.66795,0.712465,0.0,1.07831,1.32624,0.445074,5.80179,0.241788,0.525926,0.497815,1.59293,0.0374616,0.0486789,0.0388956,3.49441,4.9077,1.67568,1.29774,1.08552,0.754022,0.033431,1.45156,0.94624,1.34368,3.60798,2.63738,1.65096,0.347535,1.51378,1.20263,0.274887,0.0,0.111495,1.50155,0.0726254,0.473788,0.793841,0.388511,0.709334,1.4103,6.74378,0.621376,1.41637,10.5857,1.72282,0.0150425,0.0113526,0.155555,0.135807,0.556961,0.0858078,0.0935522
0.795623,0.0,0.627285,0.128275,1.92157,0.12408,0.0,0.533493,0.836006,0.636356,2.45379,0.649462,0.124977,0.46304,0.282302,0.061104,0.293587,0.369621,1.97776,1.63189,2.00802,0.626889,0.481231,1.06559,0.135588,0.767806,0.853156,0.520634,1.91148,0.228322,1.76272,0.251802,0.835216,0.594156,0.214138,0.0559493,0.0917056,0.626934,0.164978,0.66147,195.63,44.4295,65.2058,13.1351,3.60299,33.6868,18.6558,5.9126,4.14969,0.246756,0.228509,0.170996,0.152653,0.305866,0.31665,0.183331
0.351745,0.0,0.465164,0.0,1.81018,0.842335,0.0,1.05159,0.422627,0.926646,3.05826,0.306188,0.217519,0.148206,0.538264,0.0,0.395983,0.753924,2.73186,2.44482,1.66017,0.956061,0.291382,0.905519,0.105287,0.813541,1.86023,0.907126,1.70881,1.74087,1.30246,0.331778,0.483566,1.00455,0.224933,0.0,0.038788,1.57029,0.0,0.674907,277.757,92.4957,134.786,17.7005,2.8549,39.2121,26.6148,11.6783,10.357,0.566945,0.449176,0.0862898,0.0,1.02871,0.0824363,0.0759548
0.607724,0.149215,0.784341,0.0,2.04902,0.196361,0.0,0.565182,0.872146,1.08236,2.83655,0.881252,0.0,0.346385,0.604069,0.0,0.0,1.5204,2.87969,3.04593,1.76428,0.856966,0.316067,4.04876,0.0944005,0.699353,2.36142,0.904254,1.92816,0.817639,2.15982,0.25122,0.694151,0.473375,0.215746,0.0,0.0,1.66255,0.0,0.69265,313.23,82.0543,102.802,22.1388,3.01156,40.542,23.394,8.5064,6.47721,0.0460423,0.0527249,0.0818935,0.0,0.123992,0.0,0.0
1.08759,0.111053,0.585793,0.0,3.19625,0.729049,0.0,0.873524,1.21016,1.05382,3.59421,0.498326,0.0,0.110696,0.683883,0.0303006,0.22257,0.513422,2.38676,1.88738,2.32236,0.89963,0.602388,1.13977,0.0821522,0.63728,1.38292,0.680634,2.26491,0.430684,2.08717,0.660818,0.837549,0.51767,0.112361,0.0872325,0.0,1.41532,0.0,0.549384,343.697,81.1148,113.35,21.6015,3.18973,52.3408,29.6734,8.51132,7.38694,0.0700397,0.311052,0.0,0.0,0.0,0.215471,0.0609411
0.81248,0.222603,0.865782,0.0,2.28587,1.06127,0.0,0.415977,0.698215,0.712724,3.58975,0.816581,0.140726,0.466001,0.712242,0.0451222,0.943045,2.87193,2.81735,3.15478,1.87881,0.83909,0.444658,2.15149,0.0679996,0.994302,1.32776,0.740385,2.47811,0.146526,1.87812,0.466914,1.09785,0.513116,0.263949,0.0855491,0.0,1.17975,0.0,0.639144,453.413,85.4231,200.283,25.7276,3.94878,52.8401,31.2391,12.395,4.90027,0.0743614,0.119085,0.305245,0.0643397,0.0945289,0.171646,0.0516078
0.780564,0.16489,0.53526,0.0516213,1.35536,0.387312,0.0,0.559062,0.19711,0.250674,2.2593,0.291164,0.0991311,0.499138,0.355359,0.0157604,0.0595992,2.31684,2.06513,2.23297,1.97885,0.491852,0.638751,6.94918,0.0495317,0.72065,0.840833,0.499208,1.65379,0.522934,1.64363,0.181971,1.44542,0.50937,0.231667,0.0,0.0206173,0.600048,0.0,0.701389,254.319,61.6178,134.325,40.1951,3.03104,23.4699,25.0668,8.56778,5.55182,0.105652,0.102573,0.0883186,0.093219,0.233882,0.208347,0.0367526
0.137047,0.455517,0.0206382,0.0,0.674075,0.179809,0.0,0.303559,0.152878,0.0275499,2.06075,0.0,0.0,0.0,0.280483,0.0185505,0.0346302,2.14743,1.61192,2.00862,0.58731,0.303905,0.604179,3.86651,0.0,0.87399,0.34504,0.679551,1.56114,0.255213,1.21229,0.0498088,1.54887,0.669456,0.402762,0.0,0.01379,0.385822,0.0,0.290652,61.1718,16.2505,11.5436,9.24478,1.89775,6.69731,8.57125,3.27804,2.19919,0.0545439,0.0511268,0.0293344,0.0,0.0722118,0.0,0.0
1.05632,0.188799,0.445341,0.023302,3.16651,0.175894,0.0,0.602807,0.30618,0.187531,3.12979,0.06372,0.0,0.0689515,0.676609,0.0,0.0,1.98134,2.78971,2.9848,1.75028,0.592747,0.483107,9.85923,0.0960366,1.38385,0.967174,0.989448,2.43728,0.0615305,2.11104,0.0914711,1.16846,0.712713,0.142418,0.0,0.0,0.877105,0.0,0.572483,342.861,74.595,248.116,27.3433,2.77938,37.1116,29.1768,10.5001,6.99618,0.0331777,0.0282806,0.0,0.0841073,0.15578,0.080366,0.0
