2026-09-19 01:03:29 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.8398 (Raw AUC ~= 0.8798)
2026-09-19 01:03:49 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8398 (Raw AUC ~= 0.8798)
2026-09-19 01:03:49 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8398
2026-09-19 01:03:53 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 01:04:09 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.6018 (Raw AUC ~= 0.6418)
2026-09-19 01:04:25 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.6147 (Raw AUC ~= 0.6547)
2026-09-19 01:04:25 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.6147
2026-09-19 01:04:26 | INFO     | prostate_bcr | Repeat seed=44 fold 2/5 ...
2026-09-19 01:04:27 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 01:04:31 | INFO     | prostate_bcr | Preprocessing fitted on 343 training samples
2026-09-19 01:05:19 | INFO     | prostate_bcr | Genomic selector: 18938 variance \u2192 200 MI features
2026-09-19 01:05:19 | INFO     | prostate_bcr | Clinical selector: 46 variance -> 46 MI features
2026-09-19 01:05:23 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 01:05:41 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.8473 (Raw AUC ~= 0.8873)
2026-09-19 01:06:00 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8473 (Raw AUC ~= 0.8873)
2026-09-19 01:06:00 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8473
2026-09-19 01:06:04 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
