,ZC3H14,SLTM,HSD11B1L,TMEM176B,CADM3,RGAG4,CNTF,LIN7A,PRR15,C1QTNF7,CD109,SYT17,RPS10,TOP2B,RBBP7,UBE2G1,RHOC,ARMC4,CASP5,CHRD,CHCHD6,ANXA6
GSM1817930,1.520146734421056,-0.067532067348738,-5.20693340489163,1.1326298773631485,-0.25929572004233536,1.1853602514463244,-0.5849730479589753,0.9906137247179162,-0.9475048819939904,-0.013496592744813574,0.8661579011539936,-0.553249659707695,-0.5375957070180907,-0.06753206734873393,0.04049958896028248,1.302052855023881,-0.3728332458690825,-0.2592957200423363,0.9060839546267638,0.20384159360707416,0.3728332458690831,0.0946138500057112
GSM1817931,-0.7538284716805224,-5.2069334048916325,2.3023509502334947,-0.12176501233058289,-0.7184627414058253,-0.6172946605313802,-0.23147992011474974,1.035641048743612,0.28731304631659377,-1.439735307788283,-1.2415993798353344,-0.461167285318794,0.5532496597076958,-1.851296941933316,-0.683971162555655,1.0356410487436107,0.23147992011475013,-0.8661579011539935,0.5220720216434805,-1.5201467344210602,2.026561886444759,-0.4313565579206647
GSM1817932,-5.206933404891631,0.49139242808836536,-1.4397353077882835,-0.2592957200423357,-0.9475048819939865,-0.4019232985650861,0.8661579011539943,0.040499588960281614,5.206933404989615,-0.46116728531879214,-0.2314799201147504,1.4397353077882842,5.206933404989619,-1.3676637132101825,0.9906137247179171,-0.6502725242301413,-0.31555711318057794,-0.7184627414058262,-0.37283324586908223,-1.035641048743617,1.4397353077882853,0.14900598907582152
GSM1817933,-0.9906137247179158,0.7538284716805213,1.3676637132101856,-0.06753206734873564,0.17635768526827952,-1.8512969419333165,-0.09461385000571401,1.241599379835335,1.3020528550238792,-1.0356410487436105,1.7192764165835241,0.6172946605313815,0.1900817432988235,0.4313565579206638,0.35840686358011203,-0.9906137247179172,1.1326298773631476,-1.3020528550238808,-1.1853602514463213,-0.31555711318058294,-0.7184627414058258,-1.3020528550238843
GSM1817934,0.2592957200423366,0.09461385000571287,-0.23147992011474927,-0.9906137247179154,1.4397353077882853,-5.206933404891629,0.4019232985650885,-1.3020528550238806,-1.1853602514463244,0.09461385000571569,-1.8512969419333185,-1.3676637132101854,1.5201467344210569,-0.9475048819939852,-0.013496592744813633,-0.79016034249712,-0.14900598907582482,1.1853602514463226,-0.4913924280883667,1.3020528550238757,0.6172946605313826,-0.6502725242301435
GSM1817935,0.1490059890758252,0.5532496597076928,-0.4611672853187925,0.4313565579206621,-0.2314799201147493,0.040499588960283266,0.04049958896028185,0.9475048819939876,-0.4913924280883698,-0.6502725242301388,-0.09461385000571468,0.0675320673487358,1.2712470793693862,0.6172946605313845,-0.17635768526827753,1.7192764165835233,0.20384159360707912,-0.14900598907582474,-0.9906137247179156,0.25929572004233126,0.013496592744815223,0.5532496597076911
GSM1817936,-0.34405447813591233,0.01349659274481299,1.0356410487436127,0.23147992011475083,0.1490059890758257,-0.17635768526827675,-0.040499588960281115,-1.851296941933318,0.6502725242301371,-0.04049958896028042,-2.0265618864447874,0.5220720216434799,-0.8275632846762008,-0.7538284716805203,0.8661579011539949,-1.1326298773631485,1.1853602514463224,-2.3023509502335053,1.611760480448586,0.46116728531878853,0.4611672853187941,-0.01349659274481809
GSM1817937,0.06753206734873671,0.40192329856508635,0.4611672853187945,-0.14900598907582413,-1.0828657198996057,1.0356410487436136,-5.206933404891631,-2.026561886444787,1.1853602514463197,0.4019232985650891,-2.3023509502335058,-0.3440544781359132,-0.040499588960280275,-0.6502725242301377,1.6117604804485874,-0.23147992011475133,-1.302052855023881,-0.7901603424971188,-0.12176501233058334,-0.25929572004234136,-0.46116728531879286,0.9475048819939841
GSM1817938,0.5220720216434808,-0.23147992011475188,-0.2592957200423354,-1.5201467344210544,-1.5201467344210542,-2.026561886444785,0.7901603424971194,-0.23147992011474997,1.3676637132101819,0.6172946605313832,-5.206933404891631,1.6117604804485857,0.5532496597076958,0.06753206734873879,1.1853602514463237,-0.12176501233058469,-2.026561886444787,-1.8512969419333183,-1.7192764165835233,-0.9060839546267687,0.17635768526827925,0.013496592744811313
GSM1817939,1.439735307788285,-0.013496592744816413,-0.04049958896028066,1.1853602514463233,0.20384159360707996,-0.8661579011539917,-0.31555711318057744,-0.6502725242301399,-5.206933404891633,-0.5849730479589743,-1.035641048743612,-0.04049958896028217,-0.5375957070180907,0.3155571131805802,1.5201467344210569,0.12176501233058253,-0.6502725242301401,-0.040499588960281524,0.37283324586908273,1.3676637132101797,-0.4913924280883665,-1.7192764165835273
GSM1817940,0.34405447813591306,-1.1853602514463233,-1.082865719899606,0.2873130463165972,-0.315557113180577,1.302052855023884,0.9475048819939879,-0.5849730479589755,-0.4611672853187962,0.06753206734873754,-1.4397353077882846,-0.4019232985650885,-1.0356410487436107,-1.241599379835332,0.771867413498487,-0.14900598907582593,1.611760480448586,-1.0828657198996068,-1.1326298773631471,0.7184627414058165,0.20384159360707968,-0.2873130463166
GSM1817941,0.7901603424971193,-0.4019232985650896,-0.3440544781359117,-1.1853602514463208,-2.3023509502335036,0.7184627414058283,0.06753206734873686,-0.0675320673487361,-2.3023509502335084,-0.14900598907582363,0.5849730479589754,0.287313046316596,0.2732776457487594,0.7184627414058289,-1.520146734421054,0.37283324586908145,0.790160342497119,-1.1326298773631474,0.5849730479589756,-0.6839711625556611,1.7192764165835248,-0.3155571131805813
GSM1817942,1.241599379835335,-0.040499588960283266,-1.7192764165835228,-0.17635768526827794,-0.5220720216434795,0.9475048819939893,-0.34405447813591217,-0.9906137247179159,-1.0828657198996097,0.4611672853187946,0.14900598907582469,-0.8661579011539942,1.035641048743613,1.035641048743614,-0.7538284716805216,1.1853602514463215,0.5220720216434804,0.9475048819939875,0.315557113180578,0.09461385000570956,-0.9906137247179155,-0.8661579011539969
